occurrenceID,basisOfRecord,institutionCode,datasetName,occurrenceStatus,eventID,materialSampleID,eventDate,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,samplingProtocol,associatedSequences,identificationReferences,identificationRemarks,locationID,decimalLatitude,decimalLongitude,countryCode,fieldNumber,minimumDepthInMeters,maximumDepthInMeters,habitat,occurrenceRemarks,eventRemarks,datasetID,verbatimIdentification,scientificNameID,scientificName,taxonRank,taxonId
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AJJC81_20200506_20201012,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1,2020-05-06/2020-10-12,10,DNA sequence reads,12,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125481,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.6533567,2.79178508,BE,BelgiumCoast_AJJC81,38.0,38.0,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,,Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Chordata;Mammalia;Carnivora;Viverridae;Paradoxurus;Paradoxurus jerdoni,no match,no match,no match,ASV_70:05b1cf4e28a192e03312b163914aad6ee6b2016d
ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1:ASV_150:8e1e9564c5e9c42fdeadb59c1103de3ba4bda049,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_BelgiumCoast_AJJC81_20200506_20201012,ARMS_BelgiumCoast_AJJC81_20200506_20201012_MF100_s1_r1,2020-05-06/2020-10-12,2,DNA sequence reads,12,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125481,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Belgian Part of the North Sea (http://marineregions.org/mrgid/26567),51.6533567,2.79178508,BE,BelgiumCoast_AJJC81,38.0,38.0,Wind farm; semi-industrial; 9.5 - Subtidal Sandy-Mud,uncertain classification (not marine),Was a crate cover used when retrieving the unit: no; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Diplopoda;Spirobolida;Spirobolidae;Narceus;Narceus annularus,urn:lsid:marinespecies.org:taxname:1028887,Narceus annularus,Species,ASV_150:8e1e9564c5e9c42fdeadb59c1103de3ba4bda049
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_35:e1025484213fa24992c9f8301ed64d0ef8c6c71b,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,9,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Chordata;Actinopteri;Gobiiformes;Gobiidae;Gobiusculus;Gobiusculus flavescens,urn:lsid:marinespecies.org:taxname:126898,Gobiusculus flavescens,Species,ASV_35:e1025484213fa24992c9f8301ed64d0ef8c6c71b
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_37:ce205311cc99daa7f97ef53527e1e3bd1b48ceaf,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,15,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Annelida;Polychaeta;Terebellida;Terebellidae;Nicolea;Nicolea zostericola,urn:lsid:marinespecies.org:taxname:131508,Nicolea zostericola,Species,ASV_37:ce205311cc99daa7f97ef53527e1e3bd1b48ceaf
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_46:cbb59af13dd16cc520501efce935d53615db5888,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,2,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Mollusca;Gastropoda;Nudibranchia;Onchidorididae;Onchidoris;Onchidoris muricata,urn:lsid:marinespecies.org:taxname:140640,Onchidoris muricata,Species,ASV_46:cbb59af13dd16cc520501efce935d53615db5888
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_48:08d0037a4009afd030251986ed6ba94e9fd1da2e,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,6,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Bryozoa;Gymnolaemata;Cheilostomatida;Cribrilinidae;Cribrilina;Cribrilina mutabilis,urn:lsid:marinespecies.org:taxname:1059484,Juxtacribrilina mutabilis,Species,ASV_48:08d0037a4009afd030251986ed6ba94e9fd1da2e
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_51:33da948d5921884c0aeb393e2b5c64a8041c776f,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,18,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Annelida;Polychaeta;Dinophilidae;Dinophilidae;Dinophilus;Dinophilus vorticoides,urn:lsid:marinespecies.org:taxname:130002,Dinophilus vorticoides,Species,ASV_51:33da948d5921884c0aeb393e2b5c64a8041c776f
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_53:95f26b601020d94e863656ce95785f8317d6bb96,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,14,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Ectocarpales;Phaeophyceae_16;Ectocarpales;Chordariaceae;Mesogloia;Mesogloia ikomae,urn:lsid:marinespecies.org:taxname:1356579,Mesogloia ikomae,Species,ASV_53:95f26b601020d94e863656ce95785f8317d6bb96
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_63:6cc2219a0f66822b1ada491e96eafd953a0f7269,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,10,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Balanus;Balanus balanus,urn:lsid:marinespecies.org:taxname:106213,Balanus balanus,Species,ASV_63:6cc2219a0f66822b1ada491e96eafd953a0f7269
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_65:7bb9a2005c9cb37888b0847a0e9636e34c1de988,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,4,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula ramosissima,urn:lsid:marinespecies.org:taxname:149643,Navicula ramosissima,Species,ASV_65:7bb9a2005c9cb37888b0847a0e9636e34c1de988
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_74:33b0b3be7c5f7c54152c7927f0d8cfeab3fdbceb,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,4,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Annelida;Polychaeta;Phyllodocida;Hesionidae;Psamathe;Psamathe fusca,urn:lsid:marinespecies.org:taxname:152249,Psamathe fusca,Species,ASV_74:33b0b3be7c5f7c54152c7927f0d8cfeab3fdbceb
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_78:bba021ab83c4810511c40a0d36cf59b4347874b0,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,4,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Cnidaria;Anthozoa;Scleractinia;Caryophylliidae;Solenosmilia;Solenosmilia variabilis,urn:lsid:marinespecies.org:taxname:135168,Solenosmilia variabilis,Species,ASV_78:bba021ab83c4810511c40a0d36cf59b4347874b0
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_81:d20fdc10a055e6d9fcbda4d26038259b7d171747,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,5,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Insecta;Hemiptera;Hormaphididae;Parathoracaphis;Parathoracaphis setigera,no match,no match,no match,ASV_81:d20fdc10a055e6d9fcbda4d26038259b7d171747
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_85:0737dab89f1dec0b40ba663ff3f0a77f413cf1ea,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,7,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Clytiidae;Clytia;Clytia hemisphaerica,urn:lsid:marinespecies.org:taxname:117368,Clytia hemisphaerica,Species,ASV_85:0737dab89f1dec0b40ba663ff3f0a77f413cf1ea
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_87:19a616801f3fa9a8641a58474dba7878ae2f3a77,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,4,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Annelida;Polychaeta;Spionida;Spionidae;Polydora;Polydora cornuta,urn:lsid:marinespecies.org:taxname:131143,Polydora cornuta,Species,ASV_87:19a616801f3fa9a8641a58474dba7878ae2f3a77
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_91:4d5a4072553b8223f42cd7e84ae6c17513d4d6a0,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,3,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Insecta;Coleoptera;Rhagophthalmidae;Rhagophthalmus;Rhagophthalmus lufengensis,no match,no match,no match,ASV_91:4d5a4072553b8223f42cd7e84ae6c17513d4d6a0
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_98:8e0cfef018d3ccc6b87488831ba66dfaa91d633f,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,3,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,uncertain classification (not marine),Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Platyhelminthes;Trematoda;Plagiorchiida;Echinochasmidae;Echinochasmus;Echinochasmus japonicus,urn:lsid:marinespecies.org:taxname:1418139,Echinochasmus japonicus,Species,ASV_98:8e0cfef018d3ccc6b87488831ba66dfaa91d633f
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_104:d2e145814c36d03815b4892a7506e44f0bca4194,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,3,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Asterias;Asterias rubens,urn:lsid:marinespecies.org:taxname:123776,Asterias rubens,Species,ASV_104:d2e145814c36d03815b4892a7506e44f0bca4194
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_109:fee798b26a7be66849f82766978752929f51b372,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,3,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Insecta;Coleoptera;Curculionidae;Heilipodus;Heilipodus argentinicus,no match,no match,no match,ASV_109:fee798b26a7be66849f82766978752929f51b372
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_122:1aa8b214cb26299ccd6f23a8ed60bec08408cdd5,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,3,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Annelida;Polychaeta;Sabellida;Sabellariidae;Sabellaria;Sabellaria spinulosa,urn:lsid:marinespecies.org:taxname:130867,Sabellaria spinulosa,Species,ASV_122:1aa8b214cb26299ccd6f23a8ed60bec08408cdd5
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_142:771fb60671ec1275e21d4aa2d2a0960517b16166,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,3,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Insecta;Hemiptera;Scutelleridae;Augocoris;Augocoris gomesii,no match,no match,no match,ASV_142:771fb60671ec1275e21d4aa2d2a0960517b16166
ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1:ASV_148:8331ece31a6abcd95e52cc8a5bcb124de5084ff2,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Crete_1HERP_20200903_20210122,ARMS_Crete_1HERP_20200903_20210122_MF500_s1_r1,2020-09-03/2021-01-22,2,DNA sequence reads,122,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7125564,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Crete Island (http://marineregions.org/mrgid/48617),35.343153,25.136605,GR,Crete_1HERP,4.0,4.0,Marina/Harbour; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: Imperfectly; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Chordata;Mammalia;Rodentia;Sciuridae;Sciurus;Sciurus colliaei,no match,no match,no match,ASV_148:8331ece31a6abcd95e52cc8a5bcb124de5084ff2
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:ASV_2:7c61e93ec29ff8ff27df81541dcb588bbe266a64,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Getxo_G1_20200624_20201103,ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1,2020-06-24/2020-11-03,8,DNA sequence reads,830,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7127667,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Abra de Bilbao (http://marineregions.org/mrgid/17355),43.338452,-3.014833,ES,Getxo_G1,5.0,10.0,Marina; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Chordata;Ascidiacea;Stolidobranchia;Styelidae;Botrylloides;Botrylloides diegensis,urn:lsid:marinespecies.org:taxname:252278,Botrylloides diegensis,Species,ASV_2:7c61e93ec29ff8ff27df81541dcb588bbe266a64
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:ASV_3:a834be979a75c1cb757a89c0ec3a182d5ab3e4e0,MaterialSample,ARMS-MBON,data_release_001,present,ARMS_Getxo_G1_20200624_20201103,ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1,2020-06-24/2020-11-03,6,DNA sequence reads,830,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR7127667,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_001/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2,Abra de Bilbao (http://marineregions.org/mrgid/17355),43.338452,-3.014833,ES,Getxo_G1,5.0,10.0,Marina; semi-industrial; 9.6 - Subtidal Muddy,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_001,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Balanus;Balanus trigonus,urn:lsid:marinespecies.org:taxname:106223,Balanus trigonus,Species,ASV_3:a834be979a75c1cb757a89c0ec3a182d5ab3e4e0
